,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,,Baltimore Ravens,0,20,14,221,144,77,5,17,268,111,157,1,-29.26,3.67,0.80
2,Thu,September 14,8:25PM ET,boxscore,L,,0-2,,Houston Texans,9,13,12,295,213,82,1,14,266,98,168,,-17.23,7.16,7.54
3,Sun,September 24,4:25PM ET,boxscore,L,OT,0-3,@,Green Bay Packers,24,27,21,301,191,110,1,22,344,280,64,1,4.13,-3.02,-3.04
4,Sun,October 1,1:00PM ET,boxscore,W,,1-3,@,Cleveland Browns,31,7,25,350,264,86,1,16,215,170,45,1,13.73,9.03,1.92
5,Sun,October 8,1:00PM ET,boxscore,W,,2-3,,Buffalo Bills,20,16,18,388,323,65,3,17,221,139,82,1,-0.39,8.53,-3.60
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 22,4:25PM ET,boxscore,L,,2-4,@,Pittsburgh Steelers,14,29,11,179,108,71,2,21,420,268,152,,-9.05,-10.43,4.14
8,Sun,October 29,1:00PM ET,boxscore,W,,3-4,,Indianapolis Colts,24,23,17,276,218,58,2,19,331,216,115,1,1.65,3.56,-3.58
9,Sun,November 5,1:00PM ET,boxscore,L,,3-5,@,Jacksonville Jaguars,7,23,8,148,119,29,,26,408,259,149,1,-6.25,-10.01,-1.48
10,Sun,November 12,1:00PM ET,boxscore,L,,3-6,@,Tennessee Titans,20,24,15,308,255,53,2,27,416,236,180,2,-4.44,-2.76,4.42
11,Sun,November 19,4:25PM ET,boxscore,W,,4-6,@,Denver Broncos,20,17,12,190,141,49,,20,341,229,112,2,-3.50,10.02,1.02
12,Sun,November 26,1:00PM ET,boxscore,W,,5-6,,Cleveland Browns,30,16,23,361,209,152,,21,405,236,169,,15.48,-8.19,5.93
13,Mon,December 4,8:30PM ET,boxscore,L,,5-7,,Pittsburgh Steelers,20,23,19,353,223,130,,24,374,282,92,1,7.63,-15.00,4.37
14,Sun,December 10,1:00PM ET,boxscore,L,,5-8,,Chicago Bears,7,33,14,234,164,70,2,29,482,250,232,,-11.40,-19.76,4.57
15,Sun,December 17,1:00PM ET,boxscore,L,,5-9,@,Minnesota Vikings,7,34,8,161,115,46,2,18,346,222,124,1,-26.85,-3.03,3.20
16,Sun,December 24,1:00PM ET,boxscore,W,,6-9,,Detroit Lions,26,17,28,364,222,142,1,15,276,189,87,1,7.59,2.71,0.91
17,Sun,December 31,4:25PM ET,boxscore,W,,7-9,@,Baltimore Ravens,31,27,22,359,213,146,1,19,312,194,118,1,3.54,12.91,-10.60
