,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 7,8:30PM ET,boxscore,W,,1-0,@,New England Patriots,42,27,26,537,352,185,1,25,371,247,124,,23.18,-5.92,-0.73
2,Sun,September 17,1:00PM ET,boxscore,W,,2-0,,Philadelphia Eagles,27,20,16,344,232,112,,27,406,299,107,2,11.61,-10.61,3.60
3,Sun,September 24,4:25PM ET,boxscore,W,,3-0,@,Los Angeles Chargers,24,10,16,311,122,189,,24,330,226,104,3,1.68,0.47,7.36
4,Mon,October 2,8:30PM ET,boxscore,W,,4-0,,Washington Redskins,29,20,29,429,261,168,,15,331,220,111,1,19.47,-4.10,-7.03
5,Sun,October 8,8:30PM ET,boxscore,W,,5-0,@,Houston Texans,42,34,29,450,323,127,,20,392,248,144,1,18.88,-13.30,3.73
6,Sun,October 15,4:25PM ET,boxscore,L,,5-1,,Pittsburgh Steelers,13,19,12,251,223,28,,23,439,245,194,1,-13.62,-9.10,13.13
7,Thu,October 19,8:25PM ET,boxscore,L,,5-2,@,Oakland Raiders,30,31,19,425,331,94,,32,505,417,88,,18.99,-27.92,8.52
8,Mon,October 30,8:30PM ET,boxscore,W,,6-2,,Denver Broncos,29,19,16,276,197,79,2,23,364,187,177,5,-11.74,9.17,9.53
9,Sun,November 5,4:25PM ET,boxscore,L,,6-3,@,Dallas Cowboys,17,28,17,323,255,68,1,24,375,244,131,,4.76,-19.63,5.67
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 19,1:00PM ET,boxscore,L,OT,6-4,@,New York Giants,9,12,22,363,229,134,3,20,317,205,112,1,-5.37,3.28,2.22
12,Sun,November 26,1:00PM ET,boxscore,L,,6-5,,Buffalo Bills,10,16,14,236,181,55,1,17,268,164,104,,-15.27,5.84,0.26
13,Sun,December 3,1:00PM ET,boxscore,L,,6-6,@,New York Jets,31,38,17,474,362,112,,30,488,331,157,,23.64,-22.03,-3.93
14,Sun,December 10,1:00PM ET,boxscore,W,,7-6,,Oakland Raiders,26,15,23,408,243,165,1,15,268,198,70,3,7.90,2.49,-0.27
15,Sat,December 16,8:25PM ET,boxscore,W,,8-6,,Los Angeles Chargers,30,13,20,397,223,174,,20,307,209,98,4,13.76,2.50,-0.81
16,Sun,December 24,1:00PM ET,boxscore,W,,9-6,,Miami Dolphins,29,13,23,404,301,103,,15,345,286,59,2,8.58,8.02,0.43
17,Sun,December 31,4:25PM ET,boxscore,W,,10-6,@,Denver Broncos,27,24,23,379,269,110,2,22,336,226,110,3,2.46,2.63,-2.37
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 6,4:35PM ET,boxscore,L,,10-7,,Tennessee Titans,21,22,19,325,256,69,,23,397,195,202,2,6.97,-11.23,3.21
