,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,4:25PM ET,boxscore,W,,1-0,@,Arizona Cardinals,24,6,30,429,247,182,1,14,213,145,68,2,16.72,9.94,-7.08
2,Sun,September 16,1:00PM ET,boxscore,L,,1-1,,Indianapolis Colts,9,21,20,334,269,65,1,17,281,177,104,2,-4.90,-3.83,-4.64
3,Sun,September 23,1:00PM ET,boxscore,W,,2-1,,Green Bay Packers,31,17,20,386,220,166,1,19,340,240,100,1,12.37,3.32,-0.92
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Mon,October 8,8:15PM ET,boxscore,L,,2-2,@,New Orleans Saints,19,43,18,283,244,39,2,27,447,349,98,1,-6.22,-25.98,6.15
6,Sun,October 14,1:00PM ET,boxscore,W,,3-2,,Carolina Panthers,23,17,18,288,156,132,,22,350,269,81,3,1.15,-7.02,11.87
7,Sun,October 21,4:25PM ET,boxscore,W,,4-2,,Dallas Cowboys,20,17,15,305,175,130,,17,323,250,73,2,0.89,1.71,0.27
8,Sun,October 28,1:00PM ET,boxscore,W,,5-2,@,New York Giants,20,13,20,360,178,182,1,18,303,266,37,2,-0.19,4.74,3.53
9,Sun,November 4,1:00PM ET,boxscore,L,,5-3,,Atlanta Falcons,14,38,20,366,287,79,1,25,491,337,154,1,6.19,-30.07,4.39
10,Sun,November 11,1:00PM ET,boxscore,W,,6-3,@,Tampa Bay Buccaneers,16,3,15,286,170,116,,29,501,398,103,4,1.74,-2.31,10.04
11,Sun,November 18,1:00PM ET,boxscore,L,,6-4,,Houston Texans,21,23,23,278,154,124,2,19,320,181,139,3,-6.12,3.27,1.26
12,Thu,November 22,4:30PM ET,boxscore,L,,6-5,@,Dallas Cowboys,23,31,18,331,251,80,3,20,404,258,146,,-0.72,-10.45,1.62
13,Mon,December 3,8:15PM ET,boxscore,L,,6-6,@,Philadelphia Eagles,13,28,10,235,131,104,1,28,436,306,130,1,-7.51,-11.31,4.67
14,Sun,December 9,1:00PM ET,boxscore,L,,6-7,,New York Giants,16,40,12,288,204,84,3,19,402,175,227,1,-19.48,-10.27,9.84
15,Sun,December 16,1:00PM ET,boxscore,W,,7-7,@,Jacksonville Jaguars,16,13,16,245,136,109,,11,192,20,172,2,-2.63,14.66,-7.76
16,Sat,December 22,4:30PM ET,boxscore,L,,7-8,@,Tennessee Titans,16,25,17,292,131,161,2,20,291,192,99,,-1.20,-10.02,7.22
17,Sun,December 30,4:25PM ET,boxscore,L,,7-9,,Philadelphia Eagles,0,24,8,89,68,21,1,25,360,231,129,1,-20.41,-12.25,7.80
