,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,W,,1-0,,Tennessee Titans,27,20,18,342,222,120,2,19,336,220,116,3,-3.23,14.51,-3.30
2,Sun,September 16,1:00PM ET,boxscore,W,,2-0,@,New York Jets,20,12,18,257,122,135,2,21,362,320,42,3,-2.02,8.87,-0.32
3,Sun,September 23,1:00PM ET,boxscore,W,,3-0,,Oakland Raiders,28,20,13,373,332,41,,25,434,325,109,2,13.07,-9.08,7.77
4,Sun,September 30,1:00PM ET,boxscore,L,,3-1,@,New England Patriots,7,38,11,172,116,56,2,26,449,274,175,2,-12.47,-21.55,6.26
5,Sun,October 7,1:00PM ET,boxscore,L,,3-2,@,Cincinnati Bengals,17,27,17,297,169,128,3,17,332,229,103,1,-14.46,-0.18,5.85
6,Sun,October 14,1:00PM ET,boxscore,W,OT,4-2,,Chicago Bears,31,28,23,541,380,161,3,23,467,303,164,3,10.81,-12.66,5.41
7,Sun,October 21,1:00PM ET,boxscore,L,,4-3,,Detroit Lions,21,32,19,322,215,107,,24,457,209,248,,15.19,-22.39,-4.40
8,Thu,October 25,8:20PM ET,boxscore,L,,4-4,@,Houston Texans,23,42,18,370,254,116,1,17,427,239,188,,1.41,-26.51,8.12
9,Sun,November 4,1:00PM ET,boxscore,W,,5-4,,New York Jets,13,6,7,168,104,64,,15,282,202,80,4,-16.51,18.82,3.31
10,Sun,November 11,4:25PM ET,boxscore,L,,5-5,@,Green Bay Packers,12,31,19,294,163,131,2,21,377,182,195,1,-12.66,-11.86,5.01
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 25,4:25PM ET,boxscore,L,,5-6,@,Indianapolis Colts,24,27,14,314,201,113,1,26,455,337,118,3,3.02,-12.34,5.47
13,Sun,December 2,1:00PM ET,boxscore,W,,6-6,,Buffalo Bills,21,17,15,175,115,60,1,24,415,217,198,3,0.01,-10.93,9.78
14,Sun,December 9,1:00PM ET,boxscore,W,,7-6,,New England Patriots,34,33,20,412,223,189,,28,421,344,77,,19.73,-21.02,0.46
15,Sun,December 16,1:00PM ET,boxscore,L,,7-7,@,Minnesota Vikings,17,41,12,193,37,156,,22,418,198,220,1,-14.15,-10.62,-1.19
16,Sun,December 23,1:00PM ET,boxscore,L,,7-8,,Jacksonville Jaguars,7,17,11,183,121,62,2,19,244,118,126,1,-15.96,2.60,-0.98
17,Sun,December 30,1:00PM ET,boxscore,L,,7-9,@,Buffalo Bills,17,42,17,225,126,99,4,23,381,215,166,1,-16.21,-13.10,4.96
