,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,8:30PM ET,boxscore,L,,0-1,@,Dallas Cowboys,3,19,13,233,198,35,1,22,392,263,129,,-5.48,-10.62,2.73
2,Mon,September 18,8:30PM ET,boxscore,L,,0-2,,Detroit Lions,10,24,14,270,208,62,1,12,257,119,138,1,-9.08,5.01,-7.78
3,Sun,September 24,1:00PM ET,boxscore,L,,0-3,@,Philadelphia Eagles,24,27,21,415,366,49,2,24,354,161,193,1,5.70,-8.14,0.22
4,Sun,October 1,4:05PM ET,boxscore,L,,0-4,@,Tampa Bay Buccaneers,23,25,24,379,288,91,,20,434,323,111,,6.89,-10.37,1.22
5,Sun,October 8,1:00PM ET,boxscore,L,,0-5,,Los Angeles Chargers,22,27,18,335,183,152,2,21,382,258,124,1,-11.19,-0.75,4.17
6,Sun,October 15,8:30PM ET,boxscore,W,,1-5,@,Denver Broncos,23,10,12,266,118,148,,20,412,366,46,3,-5.11,8.80,7.37
7,Sun,October 22,4:25PM ET,boxscore,L,,1-6,,Seattle Seahawks,7,24,14,177,131,46,1,26,425,321,104,1,-15.66,-3.85,0.80
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 5,1:00PM ET,boxscore,L,,1-7,,Los Angeles Rams,17,51,17,319,208,111,3,20,473,311,162,,-4.66,-24.14,-4.36
10,Sun,November 12,4:25PM ET,boxscore,L,,1-8,@,San Francisco 49ers,21,31,19,374,260,114,1,21,474,288,186,2,10.34,-14.95,-4.59
11,Sun,November 19,1:00PM ET,boxscore,W,OT,2-8,,Kansas City Chiefs,12,9,20,317,205,112,1,22,363,229,134,3,-3.28,5.37,-2.22
12,Thu,November 23,8:30PM ET,boxscore,L,,2-9,@,Washington Redskins,10,20,7,170,86,84,1,17,323,201,122,1,-21.33,10.61,2.42
13,Sun,December 3,4:25PM ET,boxscore,L,,2-10,@,Oakland Raiders,17,24,15,265,200,65,2,18,401,282,119,1,-5.60,-4.22,-0.84
14,Sun,December 10,1:00PM ET,boxscore,L,,2-11,,Dallas Cowboys,10,30,21,330,228,102,2,19,454,332,122,,-4.71,-18.33,5.19
15,Sun,December 17,1:00PM ET,boxscore,L,,2-12,,Philadelphia Eagles,29,34,27,504,429,75,1,22,341,233,108,,16.01,-11.85,-7.88
16,Sun,December 24,4:25PM ET,boxscore,L,,2-13,@,Arizona Cardinals,0,23,12,293,250,43,3,19,289,215,74,2,-26.57,5.11,-2.15
17,Sun,December 31,1:00PM ET,boxscore,W,,3-13,,Washington Redskins,18,10,17,381,121,260,1,10,197,136,61,3,-6.77,22.34,-4.56
