,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,W,,1-0,@,New York Giants,20,15,17,305,168,137,1,15,324,210,114,2,-6.03,10.37,4.61
2,Sun,September 16,4:25PM ET,boxscore,W,,2-0,,New England Patriots,31,20,27,480,376,104,2,18,302,220,82,1,18.76,-2.13,-4.44
3,Sun,September 23,1:00PM ET,boxscore,L,,2-1,,Tennessee Titans,6,9,12,232,145,87,1,15,233,83,150,,-7.77,6.26,-2.89
4,Sun,September 30,1:00PM ET,boxscore,W,,3-1,,New York Jets,31,12,23,503,377,126,3,10,178,144,34,,4.35,11.57,-2.04
5,Sun,October 7,1:00PM ET,boxscore,L,,3-2,@,Kansas City Chiefs,14,30,29,502,401,101,5,26,424,298,126,2,-7.23,-5.01,-2.84
6,Sun,October 14,4:25PM ET,boxscore,L,,3-3,@,Dallas Cowboys,7,40,10,204,139,65,2,23,378,172,206,,-15.11,-11.83,-4.14
7,Sun,October 21,1:00PM ET,boxscore,L,,3-4,,Houston Texans,7,20,15,259,189,70,3,15,272,131,141,,-14.02,-0.33,-1.41
8,Sun,October 28,9:30AM ET,boxscore,L,,3-5,,Philadelphia Eagles,18,24,16,335,265,70,1,22,395,262,133,2,-2.83,-10.42,5.64
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 11,1:00PM ET,boxscore,L,,3-6,@,Indianapolis Colts,26,29,24,415,324,91,1,17,366,285,81,1,10.46,-16.89,5.81
11,Sun,November 18,1:00PM ET,boxscore,L,,3-7,,Pittsburgh Steelers,16,20,15,243,64,179,1,19,323,297,26,3,-12.45,2.86,3.53
12,Sun,November 25,1:00PM ET,boxscore,L,,3-8,@,Buffalo Bills,21,24,25,333,107,226,2,18,327,160,167,,-0.38,-7.07,2.11
13,Sun,December 2,1:00PM ET,boxscore,W,,4-8,,Indianapolis Colts,6,0,11,211,132,79,1,19,265,224,41,2,-10.53,20.04,-3.31
14,Thu,December 6,8:20PM ET,boxscore,L,,4-9,@,Tennessee Titans,9,30,17,255,195,60,1,21,426,162,264,1,-14.81,-16.52,3.20
15,Sun,December 16,1:00PM ET,boxscore,L,,4-10,,Washington Redskins,13,16,11,192,20,172,2,16,245,136,109,,-14.66,2.63,7.76
16,Sun,December 23,1:00PM ET,boxscore,W,,5-10,@,Miami Dolphins,17,7,19,244,118,126,1,11,183,121,62,2,-2.60,15.96,0.98
17,Sun,December 30,1:00PM ET,boxscore,L,,5-11,@,Houston Texans,3,20,6,119,89,30,2,23,342,208,134,1,-20.82,-2.75,2.02
