,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 10,10:20PM ET,boxscore,L,,0-1,,Los Angeles Rams,13,33,20,395,300,95,3,23,365,225,140,,-6.75,-16.10,5.90
2,Sun,September 16,4:25PM ET,boxscore,L,,0-2,@,Denver Broncos,19,20,21,373,281,92,,20,385,217,168,1,9.02,-11.81,0.41
3,Sun,September 23,1:00PM ET,boxscore,L,,0-3,@,Miami Dolphins,20,28,25,434,325,109,2,13,373,332,41,,9.08,-13.07,-7.77
4,Sun,September 30,4:05PM ET,boxscore,W,OT,1-3,,Cleveland Browns,45,42,27,565,426,139,2,21,487,279,208,4,7.23,-1.25,-2.16
5,Sun,October 7,4:05PM ET,boxscore,L,,1-4,@,Los Angeles Chargers,10,26,14,289,248,41,2,19,412,333,79,,-2.22,-17.22,-0.93
6,Sun,October 14,1:00PM ET,boxscore,L,,1-5,,Seattle Seahawks,3,27,15,185,106,79,2,19,369,214,155,1,-12.31,-12.00,-1.97
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 28,4:05PM ET,boxscore,L,,1-6,,Indianapolis Colts,28,42,19,347,244,103,1,28,461,239,222,,12.71,-29.44,2.04
9,Thu,November 1,8:20PM ET,boxscore,L,,1-7,@,San Francisco 49ers,3,34,14,242,140,102,,18,405,262,143,,-9.22,-15.90,-3.46
10,Sun,November 11,4:05PM ET,boxscore,L,,1-8,,Los Angeles Chargers,6,20,16,317,203,114,1,16,335,222,113,1,-13.18,-9.00,7.33
11,Sun,November 18,4:05PM ET,boxscore,W,,2-8,@,Arizona Cardinals,23,21,19,325,173,152,,13,282,128,154,2,0.79,6.58,-4.96
12,Sun,November 25,1:00PM ET,boxscore,L,,2-9,@,Baltimore Ravens,17,34,13,249,182,67,1,23,416,174,242,2,-8.83,-11.19,-2.03
13,Sun,December 2,4:05PM ET,boxscore,L,,2-10,,Kansas City Chiefs,33,40,28,442,271,171,3,25,469,295,174,1,14.50,-20.87,0.05
14,Sun,December 9,4:25PM ET,boxscore,W,,3-10,,Pittsburgh Steelers,24,21,20,354,299,55,1,24,340,300,40,1,9.01,-12.58,5.63
15,Sun,December 16,1:00PM ET,boxscore,L,,3-11,@,Cincinnati Bengals,16,30,13,297,229,68,2,18,294,123,171,1,-11.09,-3.31,-0.58
16,Mon,December 24,8:15PM ET,boxscore,W,,4-11,,Denver Broncos,27,14,16,273,159,114,,19,300,200,100,2,2.72,-1.32,12.49
17,Sun,December 30,4:25PM ET,boxscore,L,,4-12,@,Kansas City Chiefs,3,35,20,292,165,127,4,18,409,310,99,1,-22.66,-17.34,9.26
