,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 10,10:20PM ET,boxscore,W,,1-0,@,Oakland Raiders,33,13,23,365,225,140,,20,395,300,95,3,16.10,6.75,-5.90
2,Sun,September 16,4:05PM ET,boxscore,W,,2-0,,Arizona Cardinals,34,0,24,432,342,90,1,5,137,83,54,1,18.11,17.50,-3.56
3,Sun,September 23,4:05PM ET,boxscore,W,,3-0,,Los Angeles Chargers,35,23,33,521,350,171,2,16,356,215,141,2,24.39,-10.00,-0.42
4,Thu,September 27,8:20PM ET,boxscore,W,,4-0,,Minnesota Vikings,38,31,25,556,456,100,,25,446,392,54,1,33.75,-15.88,-6.96
5,Sun,October 7,4:25PM ET,boxscore,W,,5-0,@,Seattle Seahawks,33,31,30,468,313,155,2,20,373,183,190,,21.36,-19.11,0.12
6,Sun,October 14,4:05PM ET,boxscore,W,,6-0,@,Denver Broncos,23,20,24,444,174,270,1,23,357,297,60,1,11.09,-6.06,-0.02
7,Sun,October 21,4:25PM ET,boxscore,W,,7-0,@,San Francisco 49ers,39,10,20,339,193,146,,16,228,121,107,4,10.86,19.69,-5.98
8,Sun,October 28,4:25PM ET,boxscore,W,,8-0,,Green Bay Packers,29,27,23,416,281,135,,16,359,253,106,1,7.93,-14.06,8.28
9,Sun,November 4,4:25PM ET,boxscore,L,,8-1,@,New Orleans Saints,35,45,23,483,391,92,1,31,487,346,141,1,20.09,-29.05,-8.53
10,Sun,November 11,4:25PM ET,boxscore,W,,9-1,,Seattle Seahawks,36,31,25,456,307,149,,29,414,141,273,1,22.36,-15.66,-1.89
11,Mon,November 19,8:15PM ET,boxscore,W,,10-1,,Kansas City Chiefs,54,51,29,455,379,76,2,27,546,448,98,5,15.93,-10.02,-2.52
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,December 2,1:00PM ET,boxscore,W,,11-1,@,Detroit Lions,30,16,24,344,195,149,2,23,310,208,102,2,6.09,5.26,1.34
14,Sun,December 9,8:20PM ET,boxscore,L,,11-2,@,Chicago Bears,6,15,14,214,162,52,4,17,294,100,194,3,-21.99,15.04,2.29
15,Sun,December 16,8:20PM ET,boxscore,L,,11-3,,Philadelphia Eagles,23,30,23,407,325,82,3,17,381,270,111,1,1.52,-1.68,-3.79
16,Sun,December 23,4:05PM ET,boxscore,W,,12-3,@,Arizona Cardinals,31,9,33,461,192,269,1,15,263,159,104,,24.42,4.01,-5.46
17,Sun,December 30,4:25PM ET,boxscore,W,,13-3,,San Francisco 49ers,48,32,28,377,222,155,,22,391,264,127,4,16.59,-1.86,-3.88
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 12,8:15PM ET,boxscore,W,,14-3,,Dallas Cowboys,30,22,30,459,186,273,,19,308,258,50,,24.75,-13.46,-0.14
Conf. Champ.,Sun,January 20,3:05PM ET,boxscore,W,OT,15-3,@,New Orleans Saints,26,23,19,378,301,77,1,19,290,242,48,1,3.02,-2.51,2.95
SuperBowl,Sun,February 3,6:30PM ET,boxscore,L,,15-4,N,New England Patriots,3,13,14,260,198,62,1,22,407,253,154,1,-11.82,-2.46,4.34
