,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 11,7:10PM ET,boxscore,L,,0-1,@,Minnesota Vikings,19,29,19,344,284,60,,23,470,341,129,,10.01,-24.38,-0.89
2,Sun,September 17,1:00PM ET,boxscore,L,,0-2,,New England Patriots,20,36,20,429,348,81,,29,555,436,119,,12.16,-27.58,2.32
3,Sun,September 24,1:00PM ET,boxscore,W,,1-2,@,Carolina Panthers,34,13,21,362,213,149,,18,288,156,132,3,15.41,5.22,-1.34
4,Sun,October 1,9:30AM ET,boxscore,W,,2-2,@,Miami Dolphins,20,0,22,347,261,86,,11,186,128,58,1,6.94,16.04,-4.01
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 15,1:00PM ET,boxscore,W,,3-2,,Detroit Lions,52,38,19,379,186,193,3,18,347,281,66,5,-3.80,23.24,-5.33
7,Sun,October 22,1:00PM ET,boxscore,W,,4-2,@,Green Bay Packers,26,17,25,485,324,161,2,16,260,79,181,1,18.40,-6.05,-0.03
8,Sun,October 29,1:00PM ET,boxscore,W,,5-2,,Chicago Bears,20,12,19,387,286,101,2,17,307,150,157,1,-0.21,7.73,2.47
9,Sun,November 5,1:00PM ET,boxscore,W,,6-2,,Tampa Bay Buccaneers,30,10,21,407,256,151,2,14,200,113,87,1,15.06,12.23,-6.16
10,Sun,November 12,1:00PM ET,boxscore,W,,7-2,@,Buffalo Bills,47,10,32,482,184,298,1,10,198,129,69,1,27.89,13.18,-3.74
11,Sun,November 19,1:00PM ET,boxscore,W,OT,8-2,,Washington Redskins,34,31,27,535,375,160,1,24,456,300,156,,24.46,-18.03,-3.00
12,Sun,November 26,4:25PM ET,boxscore,L,,8-3,@,Los Angeles Rams,20,26,14,346,223,123,,24,415,327,88,1,4.47,-11.80,3.72
13,Sun,December 3,4:25PM ET,boxscore,W,,9-3,,Carolina Panthers,31,21,19,400,252,148,1,16,279,167,112,1,10.49,2.94,-1.64
14,Thu,December 7,8:25PM ET,boxscore,L,,9-4,@,Atlanta Falcons,17,20,18,306,256,50,1,26,343,211,132,3,3.22,-3.36,0.20
15,Sun,December 17,1:00PM ET,boxscore,W,,10-4,,New York Jets,31,19,23,412,281,131,3,19,294,170,124,2,6.75,2.56,3.82
16,Sun,December 24,1:00PM ET,boxscore,W,,11-4,,Atlanta Falcons,23,13,15,315,229,86,1,15,331,264,67,2,-6.78,13.63,3.54
17,Sun,December 31,4:25PM ET,boxscore,L,,11-5,@,Tampa Bay Buccaneers,24,31,18,323,231,92,1,28,455,345,110,3,7.18,-15.45,3.03
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 7,4:40PM ET,boxscore,W,,12-5,,Carolina Panthers,31,26,21,410,369,41,1,24,413,306,107,,15.88,-13.02,3.79
Division,Sun,January 14,4:40PM ET,boxscore,L,,12-6,@,Minnesota Vikings,24,29,23,358,278,80,2,24,403,308,95,1,5.49,-12.63,2.99
