,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,4:25PM ET,boxscore,L,,0-1,@,Denver Broncos,24,27,13,306,242,64,3,25,470,324,146,3,-1.88,-0.59,0.38
2,Mon,September 17,8:15PM ET,boxscore,L,,0-2,@,Chicago Bears,17,24,17,276,202,74,2,20,271,185,86,2,-11.46,0.24,2.71
3,Sun,September 23,4:25PM ET,boxscore,W,,1-2,,Dallas Cowboys,24,13,18,295,182,113,,17,303,137,166,3,5.56,11.41,-11.31
4,Sun,September 30,4:05PM ET,boxscore,W,,2-2,@,Arizona Cardinals,20,17,19,331,160,171,,18,263,171,92,1,1.31,-1.27,1.43
5,Sun,October 7,4:25PM ET,boxscore,L,,2-3,,Los Angeles Rams,31,33,20,373,183,190,,30,468,313,155,2,19.11,-21.36,-0.12
6,Sun,October 14,1:00PM ET,boxscore,W,,3-3,@,Oakland Raiders,27,3,19,369,214,155,1,15,185,106,79,2,12.00,12.31,1.97
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 28,1:00PM ET,boxscore,W,,4-3,@,Detroit Lions,28,14,20,413,237,176,,21,331,297,34,3,14.29,-11.09,8.88
9,Sun,November 4,4:05PM ET,boxscore,L,,4-4,,Los Angeles Chargers,17,25,25,356,202,154,1,18,375,215,160,,0.78,-11.44,6.61
10,Sun,November 11,4:25PM ET,boxscore,L,,4-5,@,Los Angeles Rams,31,36,29,414,141,273,1,25,456,307,149,,15.66,-22.36,1.89
11,Thu,November 15,8:20PM ET,boxscore,W,,5-5,,Green Bay Packers,27,24,23,378,205,173,1,14,359,311,48,,10.41,-9.27,4.00
12,Sun,November 25,1:00PM ET,boxscore,W,,6-5,@,Carolina Panthers,30,27,21,397,322,75,,26,476,256,220,1,17.77,-18.96,10.19
13,Sun,December 2,4:25PM ET,boxscore,W,,7-5,,San Francisco 49ers,43,16,21,331,163,168,,24,452,386,66,3,19.40,3.97,4.17
14,Mon,December 10,8:15PM ET,boxscore,W,,8-5,,Minnesota Vikings,21,7,19,274,60,214,1,16,276,199,77,1,-0.44,11.31,4.28
15,Sun,December 16,4:05PM ET,boxscore,L,OT,8-6,@,San Francisco 49ers,23,26,18,385,217,168,,20,351,257,94,1,7.17,-4.67,-5.04
16,Sun,December 23,8:20PM ET,boxscore,W,,9-6,,Kansas City Chiefs,38,31,31,464,254,210,,22,419,265,154,2,23.20,-11.26,-5.47
17,Sun,December 30,4:25PM ET,boxscore,W,,10-6,,Arizona Cardinals,27,24,16,291,109,182,1,12,198,113,85,2,-4.06,20.50,-13.59
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 5,8:15PM ET,boxscore,L,,10-7,@,Dallas Cowboys,22,24,11,299,226,73,,23,380,216,164,1,3.19,-7.14,4.37
