,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,,Jacksonville Jaguars,7,29,23,203,110,93,4,19,280,125,155,,-24.86,-5.46,6.79
2,Thu,September 14,8:25PM ET,boxscore,W,,1-1,@,Cincinnati Bengals,13,9,14,266,98,168,,12,295,213,82,1,-7.16,17.23,-7.54
3,Sun,September 24,1:00PM ET,boxscore,L,,1-2,@,New England Patriots,33,36,23,417,292,125,2,21,396,337,59,1,7.08,-11.52,1.48
4,Sun,October 1,1:00PM ET,boxscore,W,,2-2,,Tennessee Titans,57,14,33,445,272,173,1,9,195,109,86,5,27.31,20.24,-3.14
5,Sun,October 8,8:30PM ET,boxscore,L,,2-3,,Kansas City Chiefs,34,42,20,392,248,144,1,29,450,323,127,,13.30,-18.88,-3.73
6,Sun,October 15,1:00PM ET,boxscore,W,,3-3,,Cleveland Browns,33,17,18,340,217,123,1,16,247,113,134,3,1.49,19.02,0.42
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 29,4:05PM ET,boxscore,L,,3-4,@,Seattle Seahawks,38,41,25,509,367,142,3,21,479,446,33,1,11.20,-15.52,1.38
9,Sun,November 5,1:00PM ET,boxscore,L,,3-5,,Indianapolis Colts,14,20,19,288,194,94,1,17,371,279,92,1,-3.11,1.23,-1.80
10,Sun,November 12,4:05PM ET,boxscore,L,,3-6,@,Los Angeles Rams,7,33,17,283,194,89,4,19,443,339,104,,-16.14,-7.20,-2.86
11,Sun,November 19,1:00PM ET,boxscore,W,,4-6,,Arizona Cardinals,31,21,22,357,223,134,2,17,292,244,48,2,4.78,2.48,3.27
12,Mon,November 27,8:30PM ET,boxscore,L,,4-7,@,Baltimore Ravens,16,23,20,303,237,66,3,17,294,155,139,,-3.67,-0.80,-7.60
13,Sun,December 3,1:00PM ET,boxscore,L,,4-8,@,Tennessee Titans,13,24,24,384,331,53,1,19,344,146,198,1,3.60,-18.55,2.53
14,Sun,December 10,1:00PM ET,boxscore,L,,4-9,,San Francisco 49ers,16,26,18,311,221,90,1,20,416,314,102,1,-4.09,-6.06,1.00
15,Sun,December 17,1:00PM ET,boxscore,L,,4-10,@,Jacksonville Jaguars,7,45,9,186,99,87,1,25,464,326,138,,-18.07,-22.61,2.91
16,Mon,December 25,4:30PM ET,boxscore,L,,4-11,,Pittsburgh Steelers,6,34,13,227,51,176,2,20,330,226,104,,-11.08,-16.63,-0.91
17,Sun,December 31,1:00PM ET,boxscore,L,,4-12,@,Indianapolis Colts,13,22,15,209,124,85,1,20,250,104,146,,-1.07,-4.32,-3.08
