,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,L,,0-1,@,Miami Dolphins,20,27,19,336,220,116,3,18,342,222,120,2,-14.51,3.23,3.30
2,Sun,September 16,1:00PM ET,boxscore,W,,1-1,,Houston Texans,20,17,15,283,183,100,,21,437,289,148,1,-5.08,-12.07,14.87
3,Sun,September 23,1:00PM ET,boxscore,W,,2-1,@,Jacksonville Jaguars,9,6,15,233,83,150,,12,232,145,87,1,-6.26,7.77,2.89
4,Sun,September 30,1:00PM ET,boxscore,W,OT,3-1,,Philadelphia Eagles,26,23,22,397,327,70,1,25,432,315,117,1,8.76,-4.64,4.88
5,Sun,October 7,1:00PM ET,boxscore,L,,3-2,@,Buffalo Bills,12,13,15,221,121,100,3,18,223,79,144,1,-12.22,2.83,8.39
6,Sun,October 14,4:25PM ET,boxscore,L,,3-3,,Baltimore Ravens,0,21,7,106,51,55,,23,361,238,123,1,-15.17,-12.84,2.21
7,Sun,October 21,9:30AM ET,boxscore,L,,3-4,@,Los Angeles Chargers,19,20,23,390,226,164,1,14,344,297,47,,9.18,-13.09,1.39
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Mon,November 5,8:15PM ET,boxscore,W,,4-4,@,Dallas Cowboys,28,14,24,340,215,125,2,18,297,225,72,2,12.17,2.26,-2.87
10,Sun,November 11,1:00PM ET,boxscore,W,,5-4,,New England Patriots,34,10,23,385,235,150,,16,284,244,40,,14.31,5.76,2.47
11,Sun,November 18,1:00PM ET,boxscore,L,,5-5,@,Indianapolis Colts,10,38,16,267,176,91,2,26,397,295,102,,-4.95,-25.40,4.25
12,Mon,November 26,8:15PM ET,boxscore,L,,5-6,@,Houston Texans,17,34,14,365,260,105,1,19,462,181,281,,1.51,-20.01,7.77
13,Sun,December 2,4:05PM ET,boxscore,W,,6-6,,New York Jets,26,22,22,403,273,130,1,15,280,124,156,1,1.59,12.40,-9.82
14,Thu,December 6,8:20PM ET,boxscore,W,,7-6,,Jacksonville Jaguars,30,9,21,426,162,264,1,17,255,195,60,1,16.52,14.81,-3.20
15,Sun,December 16,1:00PM ET,boxscore,W,,8-6,@,New York Giants,17,0,22,301,86,215,,15,260,213,47,2,4.80,16.42,-6.32
16,Sat,December 22,4:30PM ET,boxscore,W,,9-6,,Washington Redskins,25,16,20,291,192,99,,17,292,131,161,2,10.02,1.20,-7.22
17,Sun,December 30,8:20PM ET,boxscore,L,,9-7,,Indianapolis Colts,17,33,11,258,165,93,3,24,436,278,158,2,-14.91,-2.80,-0.99
