,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,W,,1-0,,San Francisco 49ers,24,16,19,343,227,116,1,20,327,237,90,4,-2.96,12.02,-1.70
2,Sun,September 16,1:00PM ET,boxscore,T,OT,1-0-1,@,Green Bay Packers,29,29,24,480,412,68,1,24,351,253,98,,16.42,-4.92,-11.50
3,Sun,September 23,1:00PM ET,boxscore,L,,1-1-1,,Buffalo Bills,6,27,21,292,278,14,3,16,292,164,128,,-10.71,-3.26,-3.62
4,Thu,September 27,8:20PM ET,boxscore,L,,1-2-1,@,Los Angeles Rams,31,38,25,446,392,54,1,25,556,456,100,,15.88,-33.75,6.96
5,Sun,October 7,4:25PM ET,boxscore,W,,2-2-1,@,Philadelphia Eagles,23,21,19,375,298,77,1,21,364,283,81,2,4.35,1.97,-3.83
6,Sun,October 14,1:00PM ET,boxscore,W,,3-2-1,,Arizona Cardinals,27,17,20,411,216,195,2,16,268,208,60,2,-3.32,14.20,0.88
7,Sun,October 21,1:00PM ET,boxscore,W,,4-2-1,@,New York Jets,37,17,15,316,228,88,,16,263,192,71,4,-2.03,25.19,-3.85
8,Sun,October 28,8:20PM ET,boxscore,L,,4-3-1,,New Orleans Saints,20,30,27,423,338,85,2,17,270,164,106,1,5.30,-5.19,-6.75
9,Sun,November 4,1:00PM ET,boxscore,W,,5-3-1,,Detroit Lions,24,9,17,283,155,128,2,18,209,143,66,1,1.94,16.20,-2.99
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 18,8:20PM ET,boxscore,L,,5-4-1,@,Chicago Bears,20,25,19,268,246,22,3,24,308,160,148,3,-6.90,0.26,0.96
12,Sun,November 25,8:20PM ET,boxscore,W,,6-4-1,,Green Bay Packers,24,17,22,416,325,91,,14,254,172,82,1,10.38,-0.78,1.61
13,Sun,December 2,4:25PM ET,boxscore,L,,6-5-1,@,New England Patriots,10,24,16,278,183,95,2,27,471,311,160,1,-9.14,-16.10,4.16
14,Mon,December 10,8:15PM ET,boxscore,L,,6-6-1,@,Seattle Seahawks,7,21,16,276,199,77,1,19,274,60,214,1,-11.31,0.44,-4.28
15,Sun,December 16,1:00PM ET,boxscore,W,,7-6-1,,Miami Dolphins,41,17,22,418,198,220,1,12,193,37,156,,10.62,14.15,1.19
16,Sun,December 23,1:00PM ET,boxscore,W,,8-6-1,@,Detroit Lions,27,9,16,340,240,100,,17,223,137,86,,1.34,15.37,0.27
17,Sun,December 30,4:25PM ET,boxscore,L,,8-7-1,,Chicago Bears,10,24,12,164,101,63,,17,332,163,169,,-11.59,-9.09,6.78
