,Week,Team,Opponent,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,1,0,5,-1380,-93,-0.7999999999999998,7,-50,-54,-90,-1198,-7,3,-1.0999999999999996,-44,0,-182,1,-0.39999999999999947,7,4,-5.800000000000004,4.4,-0.20000000000000018,-5.300000000000001,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,2,0,6,-1236,-66,-0.7999999999999998,6,-53,-49,-68,-1177,-2,0,-1.5,-48,-4,-59,-1,-0.09999999999999964,8,-11,-7.600000000000001,2.700000000000001,-0.6000000000000005,-7.900000000000002,-0.3500000000000001,-2.0,-100.0,-77.0,-23.0,2.0,-6.0,-271.0,-250.0,-21.0,1.0,14
0,3,0,11,-1912,-116,-1.1999999999999993,9,-79,-76,-92,-1547,-10,4,-1.6999999999999993,-64,-26,-365,0,-0.5,-14,-14,-13.0,4.100000000000001,-1.0,-12.599999999999998,-0.6699999999999999,5.5,6.5,-103.5,110.0,0.0,-0.5,-105.0,-38.0,-67.0,0.5,4
0,4,0,8,-1040,-34,-0.7999999999999998,-1,-29,-57,-113,-1076,-7,-2,-0.7999999999999998,-51,73,36,10,-0.7000000000000002,18,8,0.6999999999999957,-0.6999999999999993,-0.20000000000000018,-5.899999999999999,0.08000000000000007,0.0,-17.0,-71.33333333333331,54.33333333333334,1.0,7.666666666666666,100.66666666666669,49.66666666666666,51.00000000000001,0.3333333333333335,-6
0,5,0,13,-628,-33,-0.39999999999999947,10,-5,-24,-41,-604,1,5,-0.6999999999999993,-25,11,-24,8,-0.09999999999999964,13,-21,0.19999999999999574,4.4,-0.7000000000000002,-6.099999999999998,0.1100000000000001,3.666666666666668,77.0,41.0,35.999999999999986,1.6666666666666667,-2.666666666666668,-34.0,-19.333333333333314,-14.666666666666657,1.3333333333333335,7
0,7,0,7,-1551,-56,-1.1999999999999993,-1,-57,-22,-16,-1065,-9,-5,-1.8999999999999995,-38,-45,-486,0,-0.5999999999999996,-5,-8,-6.600000000000001,0.10000000000000142,-0.5,-9.400000000000002,-0.43999999999999995,2.333333333333332,61.33333333333334,32.0,29.33333333333333,0.6666666666666667,-4.0,-75.0,-59.0,-16.000000000000007,0.3333333333333333,10
0,8,0,2,-1153,-34,-0.8999999999999995,10,-15,-104,-134,-1441,0,6,-1.0,-58,108,288,3,-0.5,40,-16,-5.300000000000004,5.200000000000001,-0.6000000000000005,-8.3,-0.1499999999999999,-5.666666666666666,-110.0,-83.0,-27.0,-2.333333333333333,-6.666666666666666,-114.66666666666669,-59.0,-55.66666666666667,-1.3333333333333335,-18
0,9,0,17,-948,-28,-0.7999999999999998,1,-37,-49,-45,-927,-5,1,-1.0999999999999996,-40,27,-21,5,-0.2999999999999998,2,-3,-1.8000000000000043,-0.29999999999999893,-0.7000000000000002,-8.2,-0.1299999999999999,-1.333333333333334,-41.0,-1.3333333333333428,-39.66666666666666,-0.6666666666666667,-5.0,-78.66666666666666,-60.33333333333334,-18.33333333333333,-0.33333333333333326,15
0,10,0,10,-1582,-154,-0.6999999999999993,-4,-84,-80,-134,-1258,1,-1,-0.7999999999999998,-59,-19,-324,-3,-0.5,-19,-20,-2.0,-1.0999999999999996,-0.5,-6.199999999999999,-0.04999999999999982,5.0,54.99999999999997,25.666666666666657,29.33333333333333,-0.6666666666666667,8.333333333333334,125.00000000000003,42.33333333333334,82.66666666666667,0.6666666666666667,-3
0,11,0,7,-1551,-56,-1.1999999999999993,-1,-57,-22,-16,-1065,-9,-5,-1.8999999999999995,-38,-45,-486,0,-0.5999999999999996,-5,-8,-6.600000000000001,0.10000000000000142,-0.5,-9.400000000000002,-0.43999999999999995,1.0,30.0,-11.333333333333343,41.33333333333333,-1.6666666666666667,0.0,-11.0,-58.333333333333314,47.33333333333333,-1.3333333333333335,17
