,Week,LastYrTotalYds,LastYrTotalPlays,LastYrY/P,LastYrTO,LastYr1stDs,LastYrPCmp,LastYrPAtt,LastYrPYDs,LastYrPTD,LastYrPInt,LastYrPNY/A,LastYrPFD,LastYrRAtt,LastYrRYDs,LastYrRTDs,LastYrRY/A,LastYrR1stD,LastYrPen,LastYrSc%,LastYrTO%,LastYrAvgPly,LastYrAvgDrYds,LastYrAvgDrPts,LastYrOppTotalYds,LastYrOppTotalPlays,LastYrOppY/P,LastYrOppTO,LastYrOpp1stDs,LastYrOppPCmp,LastYrOppPAtt,LastYrOppPYDs,LastYrOppPTD,LastYrOppPInt,LastYrOppPNY/A,LastYrOppPFD,LastYrOppRAtt,LastYrOppRYDs,LastYrOppRTDs,LastYrOppRY/A,LastYrOppR1stD,LastYrOppPen,LastYrOppSc%,LastYrOppTO%,LastYrOppAvgPly,LastYrOppAvgDrYds,LastYrOppAvgDrPts,MA3Off1stD,MA3OffTotYds,MA3OffPYDS,MA3OffRYDS,MA3OffTOs,MA3Def1stD,MA3DefTotYds,MA3DefPYDS,MA3DefRYDS,MA3DefTOs,OppMA3Off1stD,OppMA3OffTotYds,OppMA3OffPYDS,OppMA3OffRYDS,OppMA3OffTOs,OppMA3Def1stD,OppMA3DefTotYds,OppMA3DefPYDS,OppMA3DefRYDS,OppMA3DefTOs,score_diff
0,1,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,5863,1118,5.2,25,347,416,625,4109,17,19,6.1,214,443,1754,18,4.0,111,88,35.9,13.3,6.4,32.4,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0,2,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,5607,1039,5.4,22,331,395,628,4169,24,16,6.2,204,368,1438,14,3.9,90,118,37.1,10.8,5.8,30.1,1.93,23,413,292,121,4,19,243,191,52,3,19,359,266,93,1,19,394,156,238,2,34
0,3,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,5738,1081,5.3,26,337,373,608,3871,23,14,5.9,199,425,1867,16,4.4,106,109,36.3,13.0,5.8,29.7,1.90,23.0,413.5,302.5,111.0,2.0,15.5,215.0,149.0,66.0,3.5,22.5,427.0,351.5,75.5,1.0,20.0,372.0,255.5,116.5,1.5,-2
0,4,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,6178,1033,6.0,15,340,397,621,4742,31,9,7.2,232,378,1436,13,3.8,81,98,34.2,7.9,5.6,32.4,1.95,25.666666666666668,441.3333333333333,329.0,112.33333333333333,1.6666666666666667,15.333333333333334,214.0,156.33333333333334,57.666666666666664,2.3333333333333335,18.333333333333332,380.3333333333333,245.0,135.33333333333334,1.0,24.333333333333332,458.0,353.3333333333333,104.66666666666667,2.6666666666666665,3
0,5,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,6139,1116,5.5,22,354,355,563,3656,24,13,5.9,186,498,2483,17,5.0,144,123,38.7,10.8,5.9,31.6,2.01,25.333333333333332,412.3333333333333,298.6666666666667,113.66666666666667,1.0,16.333333333333332,231.66666666666666,137.33333333333334,94.33333333333333,2.0,18.666666666666668,282.6666666666667,178.0,104.66666666666667,2.3333333333333335,19.666666666666668,366.6666666666667,235.66666666666666,131.0,1.0,35
0,6,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,6272,1060,5.9,29,363,401,610,4273,27,15,6.7,209,419,1999,15,4.8,121,116,37.3,16.0,6.4,37.0,2.14,24.666666666666668,458.3333333333333,338.3333333333333,120.0,1.6666666666666667,20.0,290.6666666666667,205.0,85.66666666666667,1.3333333333333333,25.333333333333332,366.6666666666667,250.0,116.66666666666667,1.0,21.333333333333332,337.6666666666667,257.6666666666667,80.0,1.0,4
0,8,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,5579,1037,5.4,26,337,379,603,3724,31,18,5.8,194,395,1855,13,4.7,120,88,36.6,14.0,6.1,32.1,2.12,15.666666666666666,331.6666666666667,250.0,81.66666666666667,1.0,15.333333333333334,250.33333333333334,209.66666666666666,40.666666666666664,1.3333333333333333,17.666666666666668,270.3333333333333,206.33333333333334,64.0,0.6666666666666666,20.0,326.6666666666667,170.0,156.66666666666666,0.3333333333333333,10
0,9,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,6760,1145,5.9,14,401,401,587,4409,28,7,7.1,234,525,2351,28,4.5,129,84,48.9,7.4,6.2,35.3,2.67,15.333333333333334,270.6666666666667,178.0,92.66666666666667,1.0,14.666666666666666,261.6666666666667,169.66666666666666,92.0,1.0,13.666666666666666,308.3333333333333,180.0,128.33333333333334,1.0,18.333333333333332,296.6666666666667,199.33333333333334,97.33333333333333,1.0,-3
0,10,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,6522,1152,5.7,24,391,401,626,4300,29,16,6.4,224,475,2222,15,4.7,131,93,40.2,11.9,6.1,33.6,2.11,13.0,228.66666666666666,133.0,95.66666666666667,1.3333333333333333,14.0,236.0,108.66666666666667,127.33333333333333,0.6666666666666666,14.0,227.33333333333334,151.0,76.33333333333333,0.6666666666666666,14.333333333333334,212.66666666666666,141.0,71.66666666666667,1.3333333333333333,-3
0,11,4637,1014,4.6,30,285,297,530,2771,12,19,4.8,138,442,1866,19,4.2,108,102,28.0,14.5,5.6,24.7,1.51,5296,1056,5.0,19,327,367,576,3439,29,13,5.6,184,437,1857,13,4.2,108,98,37.4,9.9,6.0,28.9,2.04,22.666666666666668,390.6666666666667,236.66666666666666,154.0,2.6666666666666665,22.0,396.3333333333333,220.0,176.33333333333334,1.3333333333333333,14.666666666666666,245.66666666666666,151.0,94.66666666666667,1.0,14.666666666666666,240.0,163.0,77.0,0.6666666666666666,8
