week,avg_passing_yards,avg_sacks_suffered,avg_passing_air_yards,avg_passing_epa,avg_passing_cpoe,avg_rushing_yards,avg_rushing_epa,avg_receiving_fumbles,avg_receiving_fumbles_lost,avg_def_tackles_solo,avg_def_tackles_with_assist,avg_def_tackle_assists,avg_def_tackles_for_loss,avg_def_fumbles_forced,avg_def_qb_hits,avg_def_interceptions,avg_def_interception_yards,avg_misc_yards,avg_fumble_recovery_opp,avg_penalties,avg_punt_returns,avg_punt_return_yards,avg_kickoff_returns,avg_fg_made,avg_fg_blocked,pst_passing_yards,pst_passing_tds,pst_passing_interceptions,pst_sacks_suffered,pst_sack_fumbles,pst_passing_air_yards,pst_passing_epa,pst_passing_cpoe,pst_passing_2pt_conversions,pst_rushing_yards,pst_rushing_tds,pst_rushing_fumbles,pst_rushing_fumbles_lost,pst_rushing_epa,pst_rushing_2pt_conversions,pst_receiving_fumbles,pst_special_teams_tds,pst_def_tackles_solo,pst_def_tackles_with_assist,pst_def_tackle_assists,pst_def_tackles_for_loss,pst_def_fumbles_forced,pst_def_sacks,pst_def_qb_hits,pst_def_interceptions,pst_def_interception_yards,pst_def_pass_defended,pst_def_tds,pst_def_safeties,pst_misc_yards,pst_fumble_recovery_own,pst_fumble_recovery_opp,pst_fumble_recovery_tds,pst_penalties,pst_timeouts,pst_punt_returns,pst_punt_return_yards,pst_kickoff_returns,pst_fg_made,pst_fg_missed,pst_fg_blocked,pst_fg_long,pst_fg_made_0_19,pst_fg_made_20_29,pst_fg_made_30_39,pst_fg_made_40_49,pst_fg_missed_30_39,pst_pat_made,pst_pat_missed,pst_pat_blocked,pst_gwfg_made,score_diff
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.0,-6.0,5.0,11.0,1.0,1654.0,-95.5309495411986,-5.084909649349194,1.0,-62.0,-4.0,-1.0,0.0,-21.293726041951004,0.0,-1.0,0.0,103.0,-62.0,-136.0,23.0,5.0,-4.0,-12.0,-1.0,64.0,-16.0,-1.0,0.0,0.0,0.0,-1.0,1.0,18.0,4.0,12.0,110.0,-5.0,8.0,3.0,1.0,2.0,0.0,-5.0,5.0,5.0,4.0,-13.0,-2.0,2.0,1.0,-18
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,-17.0,3.0,-12.0,-6.0,-509.0,4.834366396562601,2.768312568055993,-4.0,-268.0,3.0,-2.0,-1.0,-12.337201556320498,-2.0,0.0,0.0,20.0,-12.0,78.0,-7.0,-2.0,1.0,-32.0,-11.0,-170.0,-27.0,-1.0,0.0,-8.0,-3.0,-3.0,-2.0,-14.0,7.0,-2.0,-58.0,21.0,5.0,-2.0,2.0,-4.0,1.0,1.0,5.0,-4.0,-2.0,-5.0,-4.0,0.0,-1.0,-6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,4.0,3.0,-20.0,0.0,-306.0,-15.4522823903597,-0.83769355955966,1.0,-161.0,2.0,-3.0,1.0,2.6328341169943954,0.0,1.0,2.0,72.0,-98.0,-130.0,20.0,0.0,15.0,29.0,4.0,110.0,1.0,2.0,0.0,0.0,3.0,5.0,1.0,-7.0,5.0,8.0,109.0,2.0,5.0,-2.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,10.0,0.0,0.0,-1.0,44
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937.0,12.0,7.0,67.0,3.0,4454.0,-12.8208788971153,0.4713948548570399,-1.0,2178.0,10.0,11.0,1.0,-37.57967741615099,0.0,2.0,-2.0,582.0,213.0,475.0,50.0,16.0,11.0,42.0,14.0,165.0,81.0,-1.0,0.0,0.0,7.0,2.0,1.0,105.0,58.0,16.0,104.0,30.0,24.0,6.0,-1.0,55.0,0.0,5.0,7.0,3.0,0.0,19.0,0.0,0.0,2.0,-44
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,3.0,3.0,-1.0,305.0,25.2270494363975,-2.487379661008365,0.0,-68.0,-3.0,9.0,4.0,-71.1034795298405,1.0,0.0,1.0,-59.0,-33.0,41.0,-20.0,-5.0,12.0,8.0,0.0,-20.0,-8.0,-1.0,0.0,-86.0,11.0,1.0,1.0,-14.0,8.0,9.0,43.0,9.0,7.0,-6.0,0.0,-8.0,-1.0,3.0,5.0,3.0,-2.0,-2.0,-1.0,1.0,1.0,8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-447.0,-12.0,-6.0,-12.0,3.0,-594.0,-5.039547956618996,-1.8011244329720002,-1.0,64.0,0.0,7.0,2.0,-50.6382368151501,1.0,-1.0,2.0,57.0,-61.0,-71.0,-6.0,4.0,5.0,16.0,-3.0,199.0,5.0,1.0,1.0,73.0,8.0,4.0,0.0,19.0,-16.0,5.0,48.0,11.0,1.0,2.0,0.0,5.0,1.0,-3.0,0.0,2.0,-1.0,-7.0,-1.0,1.0,0.0,-1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,12.0,3.0,-16.0,-3.0,491.0,34.0000317160905,2.63891252263382,0.0,-295.0,-5.0,-3.0,2.0,-17.8094784410197,0.0,2.0,0.0,83.0,-1.0,11.0,16.0,-7.0,16.0,27.0,-2.0,124.0,4.0,2.0,-2.0,0.0,-3.0,-5.0,0.0,18.0,-5.0,20.0,247.0,6.0,-11.0,-3.0,0.0,-3.0,0.0,-5.0,0.0,-2.0,-2.0,10.0,0.0,0.0,-1.0,11
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1005.0,-14.0,13.0,26.0,5.0,-55.0,-230.71852820276712,-9.105553430294153,-2.0,47.0,-1.0,1.0,0.0,33.62306517812914,1.0,0.0,-2.0,89.0,-36.0,102.0,2.0,2.0,-22.0,-26.0,-9.0,-87.0,-7.0,1.0,-1.0,-24.0,3.0,0.0,0.0,9.0,15.0,8.0,14.0,2.0,-20.0,3.0,-1.0,1.0,0.0,-5.0,-8.0,-5.0,1.0,-12.0,0.0,-1.0,-4.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333.0,22.0,10.0,29.0,5.0,3638.0,-61.6751223256624,2.0054020415471903,0.0,2238.0,21.0,-8.0,-3.0,104.3415723413408,-1.0,1.0,0.0,709.0,88.0,240.0,109.0,25.0,26.0,89.0,10.0,118.0,72.0,2.0,0.0,172.0,-9.0,9.0,-1.0,111.0,48.0,22.0,232.0,16.0,15.0,13.0,0.0,64.0,2.0,2.0,1.0,4.0,4.0,38.0,4.0,-1.0,-1.0,-8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-311.0,-15.0,10.0,9.0,1.0,-690.0,-112.5714598115906,-7.05917976313283,0.0,223.0,4.0,-2.0,2.0,6.9476022527314,0.0,2.0,-1.0,-58.0,8.0,-86.0,-1.0,-5.0,-6.0,-35.0,-4.0,25.0,-16.0,-1.0,-2.0,0.0,0.0,-2.0,1.0,-35.0,12.0,5.0,114.0,-9.0,3.0,-2.0,2.0,4.0,0.0,0.0,4.0,-4.0,-2.0,-10.0,-1.0,0.0,0.0,3
