,week,team,opponent_team,avg_completions,avg_attempts,avg_passing_yards,avg_passing_tds,avg_passing_interceptions,avg_sacks_suffered,avg_sack_yards_lost,avg_sack_fumbles,avg_sack_fumbles_lost,avg_passing_air_yards,avg_passing_yards_after_catch,avg_passing_first_downs,avg_passing_epa,avg_passing_cpoe,avg_passing_2pt_conversions,avg_carries,avg_rushing_yards,avg_rushing_tds,avg_rushing_fumbles,avg_rushing_fumbles_lost,avg_rushing_first_downs,avg_rushing_epa,avg_rushing_2pt_conversions,avg_receptions,avg_targets,avg_receiving_yards,avg_receiving_tds,avg_receiving_fumbles,avg_receiving_fumbles_lost,avg_receiving_air_yards,avg_receiving_yards_after_catch,avg_receiving_first_downs,avg_receiving_epa,avg_receiving_2pt_conversions,avg_special_teams_tds,avg_def_tackles_solo,avg_def_tackles_with_assist,avg_def_tackle_assists,avg_def_tackles_for_loss,avg_def_tackles_for_loss_yards,avg_def_fumbles_forced,avg_def_sacks,avg_def_sack_yards,avg_def_qb_hits,avg_def_interceptions,avg_def_interception_yards,avg_def_pass_defended,avg_def_tds,avg_def_fumbles,avg_def_safeties,avg_misc_yards,avg_fumble_recovery_own,avg_fumble_recovery_yards_own,avg_fumble_recovery_opp,avg_fumble_recovery_yards_opp,avg_fumble_recovery_tds,avg_penalties,avg_penalty_yards,avg_timeouts,avg_punt_returns,avg_punt_return_yards,avg_kickoff_returns,avg_kickoff_return_yards,avg_fg_made,avg_fg_att,avg_fg_missed,avg_fg_blocked,avg_fg_long,avg_fg_pct,avg_fg_made_distance,avg_fg_missed_distance,avg_fg_blocked_distance,avg_pat_made,avg_pat_att,avg_pat_missed,avg_pat_blocked,avg_pat_pct,pst_completions,pst_attempts,pst_passing_yards,pst_passing_tds,pst_passing_interceptions,pst_sacks_suffered,pst_sack_yards_lost,pst_sack_fumbles,pst_sack_fumbles_lost,pst_passing_air_yards,pst_passing_yards_after_catch,pst_passing_first_downs,pst_passing_epa,pst_passing_cpoe,pst_passing_2pt_conversions,pst_carries,pst_rushing_yards,pst_rushing_tds,pst_rushing_fumbles,pst_rushing_fumbles_lost,pst_rushing_first_downs,pst_rushing_epa,pst_rushing_2pt_conversions,pst_receptions,pst_targets,pst_receiving_yards,pst_receiving_tds,pst_receiving_fumbles,pst_receiving_fumbles_lost,pst_receiving_air_yards,pst_receiving_yards_after_catch,pst_receiving_first_downs,pst_receiving_epa,pst_receiving_2pt_conversions,pst_special_teams_tds,pst_def_tackles_solo,pst_def_tackles_with_assist,pst_def_tackle_assists,pst_def_tackles_for_loss,pst_def_tackles_for_loss_yards,pst_def_fumbles_forced,pst_def_sacks,pst_def_sack_yards,pst_def_qb_hits,pst_def_interceptions,pst_def_interception_yards,pst_def_pass_defended,pst_def_tds,pst_def_fumbles,pst_def_safeties,pst_misc_yards,pst_fumble_recovery_own,pst_fumble_recovery_yards_own,pst_fumble_recovery_opp,pst_fumble_recovery_yards_opp,pst_fumble_recovery_tds,pst_penalties,pst_penalty_yards,pst_timeouts,pst_punt_returns,pst_punt_return_yards,pst_kickoff_returns,pst_kickoff_return_yards,pst_fg_made,pst_fg_att,pst_fg_missed,pst_fg_blocked,pst_fg_long,pst_fg_pct,pst_fg_made_0_19,pst_fg_made_20_29,pst_fg_made_30_39,pst_fg_made_40_49,pst_fg_made_50_59,pst_fg_missed_0_19,pst_fg_missed_20_29,pst_fg_missed_30_39,pst_fg_missed_40_49,pst_fg_missed_50_59,pst_fg_made_list,pst_fg_missed_list,pst_fg_blocked_list,pst_fg_made_distance,pst_fg_missed_distance,pst_fg_blocked_distance,pst_pat_made,pst_pat_att,pst_pat_missed,pst_pat_blocked,pst_pat_pct,pst_gwfg_made,pst_gwfg_att
0,1,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,591,4619,27,11,39,-343,3,1,4425,2267,215,80.312594602204,4.06595731252115,0,496,2076,23,15,1,143,-8.97632961056641,0,415,570,4619,27,2,1,4425,2267,215,161.752035994309,0,0,623,80,358,64,259,21,40,227,101,13,247,73,1,2,0,0,23,33,14,14,1,114,990,66,26,238,29,611,30,37,7,0,62,0.810810810810811,0,11,9,3,6,0,0,2,2,1,34;62;27;34;23;55;23;21;36;51;33;31;26;47;53;33;25;53;53;49;29;29;28;24;53;26;38;41;30;36,43;68;61;39;36;51;41,,1103,339,0,47,49,2,0,0.959183673469388,0,0
1,1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,573,3987,20,15,40,-274,5,3,4143,1732,198,-16.8142185199305,0.792096452838042,0,393,1451,11,9,3,83,-65.0230200825727,1,377,554,3987,20,7,5,4143,1732,198,55.5319448593675,0,0,637,91,481,44,174,14,17,148,59,12,202,77,2,1,1,0,11,16,8,8,0,92,753,56,23,189,46,999,27,29,2,0,54,0.931034482758621,0,8,9,6,4,0,0,0,1,1,21;27;36;40;25;31;52;33;36;36;46;53;32;29;35;21;32;38;48;48;22;53;48;28;24;48;54,45;50,,996,95,0,30,30,0,0,1.0,3,3
2,1,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396,611,4267,21,18,57,-306,5,3,5232,1717,210,-0.738005651015484,0.461316249899055,2,517,2479,18,7,3,165,10.5182684953425,0,396,591,4267,21,5,1,5232,1717,210,91.2557716391756,2,0,607,74,370,60,269,8,33,227,96,9,38,72,1,1,0,0,10,13,6,6,1,102,852,69,26,360,32,737,35,37,2,0,66,0.945945945945946,0,7,9,13,5,0,0,0,2,0,40;47;43;39;50;32;66;40;46;20;23;52;39;45;37;36;46;35;27;46;52;25;49;35;28;50;42;55;38;22;46;46;34;24;46,49;48,,1401,97,0,32,32,0,0,1.0,2,2
3,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415,655,4450,36,16,27,-166,3,1,5355,1751,242,78.0708057536865,2.03343724075518,2,461,2209,20,8,3,140,30.4179243373543,1,415,623,4450,36,8,1,5355,1752,242,130.573445724783,2,0,580,120,318,71,329,12,41,267,91,19,238,80,1,3,0,0,11,13,11,11,0,113,980,70,37,316,33,790,28,32,4,0,57,0.875,0,15,7,4,2,0,0,1,1,2,37;25;42;21;48;29;33;26;21;28;30;24;28;52;57;39;24;41;29;34;35;21;25;26;25;34;41;21,53;57;49;33,,896,192,0,51,51,0,0,1.0,0,0
4,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,599,3573,14,21,52,-334,5,2,4417,1833,174,-132.207838964928,-7.13677812069135,3,455,1842,17,10,5,129,-18.5670056360625,0,348,575,3573,14,1,1,4417,1831,174,-29.8840244878769,3,1,614,78,404,69,317,14,39,293,94,9,103,52,0,0,1,4,12,18,7,7,0,107,864,70,24,213,28,620,26,29,2,1,57,0.896551724137931,0,10,3,10,3,0,0,0,1,1,22;29;20;42;21;48;43;50;47;23;45;29;51;57;23;39;49;44;48;49;27;41;24;29;32;35,54;47,50,967,101,50,26,28,2,0,0.928571428571429,0,0
5,1,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,542,3635,16,20,58,-428,10,5,4495,1600,180,-92.6203935318464,-2.71171425533204,3,475,2018,14,5,2,128,-20.0716948778598,0,332,524,3635,16,1,0,4495,1600,180,39.8025206111685,3,1,633,75,385,71,339,14,49,366,83,8,135,56,1,2,1,0,14,18,8,8,1,106,914,64,29,338,51,1180,26,30,3,1,47,0.866666666666667,0,10,5,11,0,0,0,0,1,1,28;22;47;22;33;46;46;28;39;40;25;30;22;28;43;28;23;44;43;34;35;21;44;43;46;42,65;40;53,49,902,158,49,27,28,1,0,0.964285714285714,1,2
6,1,6,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,555,4806,36,14,55,-403,5,2,4397,2421,208,91.2513717798685,5.17986882340025,1,436,1742,16,2,1,100,-36.115492522612,0,384,540,4806,36,5,2,4397,2421,208,184.845185320685,1,0,642,77,411,73,277,17,41,265,99,13,266,63,1,6,0,0,9,11,8,8,1,72,620,84,36,261,33,662,29,34,5,0,58,0.852941176470588,0,5,9,6,9,0,0,0,3,2,53;33;53;43;35;38;40;52;30;21;27;54;53;51;47;31;51;48;37;28;41;53;58;26;30;36;46;20;36,43;57;49;46;50,,1171,245,0,47,49,2,0,0.959183673469388,3,3
7,1,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,520,3619,21,14,49,-299,7,5,4292,1760,177,-16.1971152278107,-1.99547083619126,2,485,2471,20,5,1,142,26.7242917069046,1,320,499,3619,21,3,2,4292,1760,177,89.4526973798469,2,0,600,104,398,65,290,12,43,273,102,13,148,79,1,5,0,0,10,12,6,6,1,112,1035,55,47,337,40,828,16,22,5,1,57,0.727272727272727,0,3,5,4,4,0,0,0,5,0,30;57;41;52;28;48;53;35;31;52;30;28;24;46;43;37,45;46;46;41;47,41,635,225,41,37,39,1,1,0.948717948717949,0,0
8,1,8,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444,647,4963,40,11,33,-163,6,4,5116,2264,248,121.315080225337,2.11425076006347,2,473,2119,15,8,4,121,-22.218052031812,4,444,637,4963,40,4,0,5116,2264,248,190.002725524244,2,3,624,63,333,61,307,13,41,297,114,26,405,83,5,3,0,5,15,19,8,8,1,127,1103,60,28,185,29,719,29,35,6,0,56,0.828571428571429,0,5,15,7,2,0,0,1,2,2,35;21;48;34;56;37;31;38;31;30;45;49;38;39;33;30;48;29;45;55;34;35;38;37;29;26;42;27;48,31;60;51;43;59;43,,1088,287,0,47,53,6,0,0.886792452830189,1,1
9,1,9,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354,541,3856,20,9,40,-263,1,0,4552,1744,179,43.7075798147544,2.42970827354454,1,455,2025,16,7,6,128,-34.3867149863997,0,354,517,3856,20,2,1,4552,1744,179,114.238095508104,1,0,578,63,381,58,283,6,36,249,83,13,221,73,1,2,0,0,3,3,6,6,0,83,711,62,28,230,18,291,26,31,4,1,61,0.838709677419355,0,7,6,8,4,0,0,0,0,4,23;36;32;46;40;45;47;21;36;39;29;32;45;53;27;42;21;28;42;52;54;49;55;61;23;31,53;53;51;55,22,1009,212,22,33,34,1,0,0.970588235294118,0,0
